,0,wifi_person,blue_person,vendors_wifi,vendors_blue,signal_wifi,signal_blue,Temperature,Precp,event,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
2020-06-01,1585,304.7365337964712,3044.4262796868907,13.412320000782628,8.688214160798326,37834.07371416167,78850.07637234015,9.906381265062262,15.338498063029636,9.074498651024925,12.312825198607099,9.831289221841935,9.22561459937992,11.02634887667501,8.2307518746556,11.155523595462771
2020-06-02,1578,270.792431657154,2692.4792467879433,9.950541775770596,10.57816944560834,77981.77096466707,31038.49028963397,11.256473406317454,14.920788504377938,9.939960922511913,9.222665266308727,9.989361646835462,10.441808637551063,10.826910528357278,10.232526883760517,10.509179308133293
2020-06-03,1187,186.96757258992176,2322.9504897823213,12.515102151350668,10.153335124266581,78872.25341048067,90738.32715447905,9.460404991029575,14.191738318709502,9.954538731624588,10.578802914873016,10.34128909068503,11.523982224738122,9.267710335976874,11.028517334294413,11.038602433306382
2020-06-04,1444,187.60292617436656,2697.4300843304463,9.523342769232677,10.323943041204949,53299.490899506214,113095.40303091399,9.74675838095017,7.6356974338902965,9.247264594606735,10.233819149765914,10.84517733563979,8.968020844226425,10.15412301789142,9.868065308221798,10.873549401727914
2020-06-05,1519,357.0883970426955,2133.653572711746,9.282531090868789,9.234079961619734,65106.189247878676,52500.01335926578,10.610360455682203,-0.37602467251237215,9.887296467585694,9.020567609098682,11.577131226281603,10.173780567563295,11.374992079268775,9.774904734809832,9.7751426038567
2020-06-06,1572,312.40298666788857,1245.3832304717475,8.497191975136328,9.752619192971695,50755.83752013822,82275.05901957321,10.531407142920195,3.1908897008388095,9.213664544035636,9.940226668979756,9.569132072837577,11.309343969740084,9.110953169999426,9.057962683865233,9.901092804666515
2020-06-07,1604,202.85284763927106,2065.342828620575,11.303487990105998,10.593229631141766,62207.197094512645,64103.67356155574,8.145548762890984,14.852176419372793,10.597886073693438,9.961675793082973,11.146409142742945,9.42993189914099,8.849186147721442,9.75550597792904,10.953348767038449
2020-06-08,1861,111.31889615315282,3055.6793951109057,10.441581069918815,8.940569514013063,52357.80746135811,142313.76003864047,9.632655873896901,8.992053384946162,10.040497343316712,8.633291135536366,10.637608223993263,9.646411405504658,9.667944268354763,9.73058330112537,9.654066021968799
2020-06-09,1105,70.54666283135293,1876.8923340688475,9.56452085858118,9.378972188882068,83208.40832893137,109299.00471556475,9.805804505118711,1.9574615304712406,9.275215657582546,10.078436294008924,10.482144100457608,10.59674689957658,10.395799485320499,9.968600008303364,9.567489916648245
2020-06-10,1454,338.6995709109821,1463.1864154416162,10.704727112198817,9.077012737484491,48292.265103656515,41488.530840779065,8.863178043827855,10.39358387274234,11.280530132832144,10.992303891115627,10.819087897415011,10.583711322936528,10.486706847553842,8.55389237773963,9.892437146223754
2020-06-11,2196,332.19227825389083,1584.6399180688495,9.3005230453193,10.353036351366717,41212.4062765394,250407.95317120897,8.8744883959426,15.229727520926296,12.152485169031905,11.567412986633405,9.587701286861606,9.610353088161478,10.19399958874975,10.039933788486831,10.526722790237585
2020-06-12,1097,187.67333698774118,1953.7716423466813,11.03143667057076,9.171058728149355,36514.786794925734,17061.39128506218,9.484537454264448,7.212897946647511,9.984030420011177,9.091770083378025,10.77507973489023,9.375668936843052,8.538675258950184,8.96859456304039,10.319088975156928
2020-06-13,1251,255.66798196105123,2029.0041855072184,11.518378448068923,10.066246126288737,87163.58824699497,-8470.409063300569,10.750384223398957,9.22260986479272,10.012251165575162,10.877547055271606,9.699680882781129,11.108316557997997,10.41475994249293,9.681854188892245,10.439678298552447
2020-06-14,1603,128.79205901369724,1883.3864699387539,9.16566798035303,9.854578637460268,36154.2570268994,40729.75366690972,9.137478597073153,14.466655652415495,8.938072433328276,9.903912218060801,9.15754783111258,9.844503931194382,8.890292853769584,9.322964724059908,11.786093921452425
2020-06-15,1356,303.68694936567516,2502.9495876575807,10.321798440756217,10.120738313289873,31177.933274929223,102680.91324194422,9.829584936684533,-1.5706244554267563,10.854409041385061,12.452493551389953,10.747403823143172,10.441739790942496,10.94399075823547,8.772103595635052,9.861489116380426
2020-06-16,1780,416.480571170189,1825.4770289902028,9.419832434189248,9.032492688852995,55555.14092408382,-939.6915553181316,9.057496230815605,15.968539849393402,11.650763126957013,9.053573296212212,11.814921566075682,9.927405191883148,9.506393578672032,8.686347745816802,11.137713422492569
2020-06-17,1564,277.7435522031623,1218.4270257420767,10.045825692197566,8.594158015198937,55287.365380381285,118605.26799872807,10.094947817565275,9.875721593290596,10.175431897423874,9.93278555491296,9.509152487911548,9.259271385443071,10.672034437681663,10.828876579270181,11.453917532534813
2020-06-18,1582,-16.32732440738215,1477.7096657426605,10.970788283194807,11.308028823304701,62338.30201533414,137821.25013847972,7.33593374126133,14.117329407708162,11.747522123127936,10.690369621074446,9.605870551781834,9.39616137813663,11.00158152313005,9.811193959321283,10.290372934971757
2020-06-19,1566,201.83762190900325,2554.1641816809743,8.59623453247469,9.040099108800307,42976.149127720346,125135.32161893806,9.947448908611902,17.046241817842738,11.32630033298539,10.403505597549083,10.129102594965028,9.269512116582371,10.574826196624603,10.71907082984051,10.89182277199408
2020-06-20,1953,101.99307152179983,2228.2957352802237,11.235387025340835,10.881133309022703,49348.50649333012,49354.141921911956,8.947564865110769,16.583724967233632,9.62398652078379,9.536134980166057,9.099772404127224,10.164669274835402,9.790624390863337,10.082509748584771,9.528592162676585
2020-06-21,1552,270.85325042598356,3084.662079547711,9.974155338334128,9.06380612064192,81820.58430516605,23424.790819084854,10.9097507049161,12.342950076674716,10.016447835350393,10.147846687827817,9.634511756945907,11.969397833508607,7.920803068030941,10.146925483324706,8.780470098722004
2020-06-22,1140,192.45018257236552,1125.054031774538,9.298245231682131,9.162193606419192,41165.258060678665,48028.41136213333,10.638687412499014,15.30310632590081,10.832597989831772,9.802160765492241,11.193160214646573,11.715318559435726,9.395902496528635,10.062739455027646,11.041932448982234
2020-06-23,1450,247.37390642190067,2133.601893202954,11.435031356929642,9.061493237622466,28124.67719781086,-12748.742685129706,10.355091361108565,15.265370288559447,8.211531546910443,10.559447492690303,10.058334599595513,10.076415093529278,11.939448078635928,10.354874330480582,9.183740903196554
2020-06-24,2098,253.42477752256144,2417.6000996600774,11.2651117177914,10.282506107205977,34282.61389616045,12135.184115381773,9.817572950546223,1.3195745073314527,9.224718136256417,9.515101980050352,10.725122024057233,9.491127255850195,10.939478558745908,9.758790966435843,10.714034222146418
2020-06-25,1421,176.92458216997935,2683.9293889149726,10.91200228183324,10.025628990230427,38421.32292880496,72728.78291208387,11.203523551889825,13.015128106164676,10.063955116475906,11.533001922730168,8.891589649662416,9.779797861329607,9.787242391831183,10.986832406723531,10.809570634950767
2020-06-26,1532,73.68656107196134,964.4126681076802,10.755588991825686,9.812022697351406,65188.923050440324,40419.22686286364,10.255835259066991,8.614381277549777,10.662388714016648,10.26967000353975,10.356232623104015,10.663066747995762,10.695106773924449,10.34859745322137,10.586737574171163
2020-06-27,1210,523.1795444126785,2836.810433087097,9.406123046848245,10.34766912025164,60980.47095905196,35845.75136059131,10.105543760100467,4.242016572664005,10.06883266762726,7.095177953714138,9.879196078815262,8.750836849138121,11.215126112516586,10.960755019848303,8.392234355218623
